Field,BN,$a,SF2,Link
700,7958,"Buck, John A.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7958#tab7XX
700,7962,"Fadeeva Sknarina, Sofía",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7962#tab7XX
700,8018,"Acosta C., Fernando",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8018#tab7XX
700,8196,"Flores Rojas, Misael",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8196#tab7XX
700,8214,"Reza, José Clemente",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8214#tab7XX
650,8347,FUNCIONES [MATEMATICAS],,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8347#tab6XX
100,8422,"Schegliáiev, Andrei Vladimirivich",1902-1970,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8422#tab1XX
700,8423,"Maluquer Wahl, Juan J.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8423#tab7XX
100,8439,"Costes, Jean",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8439#tab1XX
700,8472,"Hernández Rramírez, Roberto",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8472#tab7XX
700,8472,"Montúfar Benítez, Marco Antonio",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8472#tab7XX
700,8512,"Pimentel Rogerio, Rubén",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8512#tab7XX
110,8519,Siemens Aktiengesellschaft,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8519#tab1XX
110,8583,Siemens Aktiengesellschaft,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8583#tab1XX
700,8606,"Tiscornia, Alejandro",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8606#tab7XX
700,8828,"González Lonzieme, Enrique",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8828#tab7XX
100,8899,"Paul, Richard P.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8899#tab1XX
110,8944,Texas Instruments,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8944#tab1XX
650,8977,FUNCIONES [MATEMATICAS],,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8977#tab6XX
700,9031,"De Olano, Douglas",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9031#tab7XX
110,9077,Shell,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9077#tab1XX
700,9103,"Dublanc, D. H.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9103#tab7XX
700,9141,"Muro Ortega González, Luis",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9141#tab7XX
110,9272,"American Association of State Highway and Transportation Officials. Washington, D. C.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9272#tab1XX
100,9280,"Hoüel, Jules",1823-1886,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9280#tab1XX
700,9287,"Verbeeck, Dirk Valckx",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9287#tab7XX
700,9306,"Sabato, Jorge A.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9306#tab7XX
100,9352,"Ferrari, R.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9352#tab1XX
700,9355,Coopesing,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9355#tab7XX
700,9386,"García, Roberto",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9386#tab7XX
